Sample_ID,window_start,Nutrient,Concentration
Q1,1988-10-18,k_mgl,0.89375
Q1,1988-10-18,NO3_ugl,141.77777777777777
Q1,1988-10-18,mg_mgl,2.61875
Q1,1988-10-18,ca_mgl,4.1625
Q1,1988-10-18,NH4_ugl,46
Q1,1988-12-20,k_mgl,0.8588888888888889
Q1,1988-12-20,NO3_ugl,153
Q1,1988-12-20,mg_mgl,2.502222222222222
Q1,1988-12-20,ca_mgl,4.32875
Q1,1988-12-20,NH4_ugl,NA
Q1,1989-02-21,k_mgl,0.8366666666666667
Q1,1989-02-21,NO3_ugl,130.88888888888889
Q1,1989-02-21,mg_mgl,2.73
Q1,1989-02-21,ca_mgl,4.14
Q1,1989-02-21,NH4_ugl,NA
Q1,1989-04-25,k_mgl,0.9377777777777778
Q1,1989-04-25,NO3_ugl,141
Q1,1989-04-25,mg_mgl,2.997777777777778
Q1,1989-04-25,ca_mgl,4.794444444444444
Q1,1989-04-25,NH4_ugl,NA
Q1,1989-06-27,k_mgl,0.9444444444444444
Q1,1989-06-27,NO3_ugl,116.625
Q1,1989-06-27,mg_mgl,2.5477777777777777
Q1,1989-06-27,ca_mgl,3.991111111111111
Q1,1989-06-27,NH4_ugl,NA
Q1,1989-08-29,k_mgl,1.049090909090909
Q1,1989-08-29,NO3_ugl,81.6
Q1,1989-08-29,mg_mgl,2.781
Q1,1989-08-29,ca_mgl,4.265
Q1,1989-08-29,NH4_ugl,NA
Q1,1989-10-31,k_mgl,1.232
Q1,1989-10-31,NO3_ugl,324.1
Q1,1989-10-31,mg_mgl,3.237
Q1,1989-10-31,ca_mgl,5.118
Q1,1989-10-31,NH4_ugl,NA
Q1,1990-01-02,k_mgl,1.268888888888889
Q1,1990-01-02,NO3_ugl,118
Q1,1990-01-02,mg_mgl,3.3233333333333333
Q1,1990-01-02,ca_mgl,5.847777777777778
Q1,1990-01-02,NH4_ugl,NA
Q1,1990-03-06,k_mgl,1.4038461538461537
Q1,1990-03-06,NO3_ugl,480.6363636363637
Q1,1990-03-06,mg_mgl,2.5215384615384617
Q1,1990-03-06,ca_mgl,4.291538461538462
Q1,1990-03-06,NH4_ugl,NA
Q1,1990-05-08,k_mgl,1.238
Q1,1990-05-08,NO3_ugl,208.1
Q1,1990-05-08,mg_mgl,3.11
Q1,1990-05-08,ca_mgl,5.267
Q1,1990-05-08,NH4_ugl,NA
Q1,1990-07-10,k_mgl,1.0133333333333334
Q1,1990-07-10,NO3_ugl,117.44444444444443
Q1,1990-07-10,mg_mgl,3.2533333333333334
Q1,1990-07-10,ca_mgl,5.6433333333333335
Q1,1990-07-10,NH4_ugl,NA
Q1,1990-09-11,k_mgl,0.9322222222222222
Q1,1990-09-11,NO3_ugl,97.83333333333334
Q1,1990-09-11,mg_mgl,2.997777777777778
Q1,1990-09-11,ca_mgl,5.207777777777778
Q1,1990-09-11,NH4_ugl,NA
Q1,1990-11-13,k_mgl,1.0736363636363637
Q1,1990-11-13,NO3_ugl,132.0909090909091
Q1,1990-11-13,mg_mgl,2.7827272727272727
Q1,1990-11-13,ca_mgl,4.642727272727273
Q1,1990-11-13,NH4_ugl,NA
Q1,1991-01-15,k_mgl,0.8144444444444444
Q1,1991-01-15,NO3_ugl,87.85714285714286
Q1,1991-01-15,mg_mgl,3.223333333333333
Q1,1991-01-15,ca_mgl,5.7844444444444445
Q1,1991-01-15,NH4_ugl,NA
Q1,1991-03-19,k_mgl,0.8333333333333334
Q1,1991-03-19,NO3_ugl,59.777777777777786
Q1,1991-03-19,mg_mgl,2.9811111111111113
Q1,1991-03-19,ca_mgl,5.421111111111111
Q1,1991-03-19,NH4_ugl,NA
Q1,1991-05-21,k_mgl,0.914
Q1,1991-05-21,NO3_ugl,54.75
Q1,1991-05-21,mg_mgl,3.0629999999999997
Q1,1991-05-21,ca_mgl,5.314
Q1,1991-05-21,NH4_ugl,NA
Q1,1991-07-23,k_mgl,1.012
Q1,1991-07-23,NO3_ugl,40.77777777777778
Q1,1991-07-23,mg_mgl,3.801
Q1,1991-07-23,ca_mgl,6.164
Q1,1991-07-23,NH4_ugl,NA
Q1,1991-09-24,k_mgl,1.1225
Q1,1991-09-24,NO3_ugl,80.5
Q1,1991-09-24,mg_mgl,2.8266666666666667
Q1,1991-09-24,ca_mgl,4.400833333333333
Q1,1991-09-24,NH4_ugl,NA
Q1,1991-11-26,k_mgl,1.1477777777777778
Q1,1991-11-26,NO3_ugl,188.375
Q1,1991-11-26,mg_mgl,3.0455555555555556
Q1,1991-11-26,ca_mgl,5.041111111111111
Q1,1991-11-26,NH4_ugl,NA
Q1,1992-01-28,k_mgl,1.1520000000000001
Q1,1992-01-28,NO3_ugl,151
Q1,1992-01-28,mg_mgl,3.128
